city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Haunted Places Date	wiki_date	Final Date	Parsed Year	Final Year	Year Match	Wiki Year	Wiki Verified	Keep Entry
Silver Lake	United States	"Man who was killed ""accidentally"" while getting a shave is still seen inside the shop."	Barber Shop	Kansas	KS	-95.7639371	39.0450589	-95.8585978	39.104166	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Tescott	United States	There was a man that ran into the trophy case. He died. He still haunts the school. The first principal of the school died and haunts the school too. There were reports of 3 hauntings there.	Tescott Grade School	Kansas	KS	-97.8796052	39.0128184	-97.8755982	39.008059	2025-02-03		2025-02-03		Unknown	False	Unknown	True	True
Topeka	United States	The studio has been in the basement of a home since 1942. Dorothy passed away in 1988 and all of this started then. There have been what sounds like 150 people tap dancing at 3 am. The lights go off and on by themselves. An old broken down piano plays Sweet Georgia Brown and Tea For Two by it's self late at night. Music boxes turn on by themselves. Footsteps in the attic. Lots of whispering and the stereo will turn on by its self.	Dorothy Thomas School of Dance	Kansas	KS	-95.70975	39.0292975	-95.6890185	39.0558235	1942-01-01		1942-01-01	1942.0	1942.0	True		False	True
Topeka	United States	this house is home to a poltergeist.	Gardner House	Kansas	KS	-95.698397	39.0527609	-95.6890185	39.0558235	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Topeka	United States	"Former ATSF train station reportedly haunted by at least three entities: One is a woman occasionally seen dressed in early 20th century apparel on the second floor of the station, another sighting is of a former ticket-clerk who is often seen at ""his"" ticket booth, and a small boy, possibly ten years old often appears in pictures taken outside the building, as well as in reflections in the windows of the station."	Overland station	Kansas	KS	-95.6694451	39.0662718	-95.6890185	39.0558235	2025-02-20		2025-02-20		1858	False	1858	True	True
Topeka	United States	Very large facility, opened in 1872-closed 1997, at one time the site of Kansas' hospital for criminally insane.  Orbs, apparitions in windows, voices and music heard from many of the buildings on campus.  1,157 people are buried in the cemetery on site-95 percent are in unmarked graves.  Local PD still patrol the area, although several have stated they hesitate to enter the grounds at night.	Topeka State Hospital	Kansas	KS	-95.696951	39.0563813	-95.6890185	39.0558235	1872-01-01		1872-01-01	1872.0	1872.0	True		False	True
Towanda	United States	It is said that this grocery used to be an orphanage and also a home for wayward woman. Truckers used to sleep in the basement of the building. This is one of the oldest buildings in Towanda. Many of the women that worked at the grocery have said to see potato chips, grocery carts moving on their own, the smell of fresh coffee, and cold air coming from no where. One lady that was closing up for the evening had put up all of the mops and brooms on hangers for the night and also checked the freezer to make sure it was closed up tight. The next morning when she opened the store the freezer door was wide open and all of the brooms and mops were lying on the floor in one little pile. Another Lady said to have something come up and touch her on her head and play with her hair. Something was always untying their aprons. Each time a person could feel the cold chill in the air and the hair rise on their arms.	Wilburs Grocery	Kansas	KS	-97.0193417	37.938657	-96.999758	37.797517	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Valley Center	United States	There are several legends about this bridge but the basis of all is that a child was drowned in the creek below and her mother is calling out to her, looking for her baby. The bridge burnt down in 1974 but you can still go to the sight today. People report strange noises, lights, and the weather is never the same in the area as it is elsewhere. If you call out to Theorosa and tell her you have her baby she will come up from the water and attack you.	Theorosa's Bridge	Kansas	KS	-97.374042	37.88310600000001	-97.3733759	37.8347342	1974-01-01		1974-01-01	1974.0	1974.0	True		False	True
Wichita	United States	when the Bel Aire water tower was being built a man snuck into the construction site and climbed the tower, he slipped and fell inside falling a horrible 183 feet to his death, when workers discovered he fell, they would have had to taken the tower apart to retrieve the body so they just built the tower over him, they say if anyone climbs the fence around the tower u can hear him inside tapping on the walls trying to have get out.	Bel Aire	Kansas	KS	-97.2598913	37.7708346	-97.330053	37.68717609999999	0183-02-26				Unknown	False	Unknown	True	True
Wichita	United States	it is said that locker 303 is haunted by a little girl who got raped and killed in the auditorium, then got stuffed in the locker. if you go down that hallway by yourself, people say that you can smell her deceased body from the locker. it is also said that if you yell down that hallway, it is the only hallway that echoes.	Brooks Middle School	Kansas	KS	-97.2914214	37.7350239	-97.330053	37.68717609999999	0303-02-26				1917	False	1917	True	True
Wichita	United States	Now housing the Sculpture/Ceramics departments. It has been said that it is haunted by an old maintenance worker who was accidentally electrocuted in the 1950's. The story goes that this worker stood up and came into contact with a live wire without his hardhat on, and was killed. Stories have it that it is him that is sometimes seen late at night or in the wee hours of the morning.	Henrion Gymnasium	Kansas	KS			-97.330053	37.68717609999999	1950-01-01		1950-01-01	1950.0	1950.0	True		False	True
Adirondack Mountains	United States	This was featured on unsolved mysteries and is the topic of books, and a movie called a place in the sun. In the early 1900s Grace Brown was drowned by her fiance, Chester Gilette. She haunts a cabin. Reports say that they have tried to pull the string on a light and they feel a cold hand, see her drowning, or see apparitions at the lake..	Big Moose lake	New York	NY	-74.849251	43.8315505	-73.8693043	44.1247154	2025-03-02		2025-03-02		1906	False	1906	True	True
Albany	United States	Formerly - Junior College of Albany/Russell Sage - Fine Arts building on Albany Campus have numerous ghosts that still can be heard. Buildings were at one time a Children's Sanitarium (Parson's home for children) is located next door. - September 2004 update: a new Fine Arts building has been built and the old Fine Arts building is now the Graphic Design building. the ghosts that reside there are from an orphanage and died in a fire in the bacement set by the owner/caretaker that also haunts the premisis.	Sage College of Albany	New York	NY	-73.78257669999999	42.6514661	-73.7562317	42.6525793	2004-01-01		2004-01-01	2004.0	2004.0	True		False	True
Albany	United States	said to be haunted by a custodian who was killed in a fire many years ago.	The Capitol building	New York	NY	-73.757339	42.652835	-73.7562317	42.6525793	2025-01-01	2025-01-01	2025-01-01		2012	False	2012	True	True
Albany	United States	There are 4 houses reported here to be haunted. 3 of them have been identified to some extent. One is a 7 year old little girl killed in a fire, another is a priest, another is a musician who committed suicide in Chicago and another is a gardener. The Dean of Students has all the details and gives a presentation on it every year. Many students have witnessed many things.	The College of Saint Rose	New York	NY	-73.78566529999999	42.6640994	-73.7562317	42.6525793	2025-02-04		2025-02-04		1920	False	1920	True	True
Albany	United States	Mohican Hall - Located on Indian Quad. A young ghost is said to wander the halls late at night and has startled many residents of the dorm. The first known sightings occurred in 1994.	University at Albany	New York	NY	-73.82524959999999	42.68494339999999	-73.7562317	42.6525793	1994-01-01		1994-01-01	1994.0	1994.0	True		False	True
Albany	United States	Professor Java's Coffee Sanctuary - Middle age gentlemen seen in walking past mirrors but when you turn there is no one there. Workers hear noises at night and sometimes lights come off and on. Spirit does not like to be around when there are many people but late during the night you get a strange feeling of heaviness and even hairs sticking up on your arms. A spirit of a dog can also be sometimes heard and seen. Building has gone many extensive renovations. It was once an old house, and then renovated to a hair stylist, it also has been reported by several people to have been at one time a secret illegal meth production house that was shut down. Spirit has been felt standing behind people and in some cases breathing down their necks behind them or being lightly touched or pushed. The activity stems from the basement. Some workers refuse to go down there by themselves.	Wolf Road	New York	NY	-73.8071099	42.7181879	-73.7562317	42.6525793	2025-01-01	2025-05-26	2025-05-26		2003	False	2003	True	True
Albany County	United States	GE Plastics - The site of GE in Selkirk used to be the Becker farm. It is over 300 acres. The original farm house is still intact and was occupied on and off with offices until March of 2004. There had been many stories from employees on what they had seen or heard. The story goes that Mr. Becker caught his wife having sex with one of the slaves. He took the slave and pushed him down a very narrow out of the way set of slave stairs and he died, he then took a knife and killed his wife by cutting her head off or attempting to anyway. He was so grief stricken about his wife having an affair and the fact that he killed her, he went to the basement and hung himself. When in the basement sometimes the lights will all blow out or other things will turn on and off. And when on the second floor where he supposedly killed his wife there is a strange smell, kind of like perfume. And when going up or down the slave stairs you get a strange sense of being watched or followed. There are also motion detectors and intrusion alarms. some guards say there that sometimes they will go off, when the building is completely empty. And they will go off in a strange order, sometimes near the basement and then almost immediately near the stairs. Sometimes it appears as if someone is walking through. They will check the system to see who accessed the Becker House and see that no one has.	Selkirk	New York	NY	-73.7985008	42.5319998	-73.93598209999999	42.57567969999999	2004-01-01		2004-01-01	2004.0	2004.0	True		False	True
Alexandria Bay	United States	Castle built in early 1900's,which was never completed due to the death of the builder's wife. Heartbroken, he left it, never to return. On many nights, a light can be seen in the uppermost windows of the castle, said to be the ghost of Mrs. Boldt.	Boldt Castle	New York	NY	-75.92265300000001	44.34434	-75.9177309	44.3358836	1900-01-01		1900-01-01	1900.0	1900.0	True		False	True
Alfred	United States	"Alfred Mackenzie Complex - The Mackenzie Dormitory of Alfred State College. Rumor has it that the architect of the MacKenzie Complex committed suicide in the south part of the Complex. This is because the school made changes the Complex so it wouldn't look like an reverse ""swastika."""	State University of New York	New York	NY	-77.7946533	42.2552377	-77.7905509	42.2542366	2025-01-01	1948-01-01	1948-01-01		1948.0	False	1948	True	True
Allegany	United States	Fancis Hall - It's very old and many monks used to live there. Workers and students have reported weird noises and feelings of spirits. No one likes to go in there at night.	St. Boneventure	New York	NY	-78.4750213	42.0803426	-78.4941887	42.0900647	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Allegany	United States	speak-easy down the road from the Ski resort, which Al Capone visited, people were killed there in the 30s.  Very freaky swamp surrounding it, and faces can be seen in the windows.	Wing Hollow/Ski Wing Resort – Speak Easy	New York	NY	-78.5091894	42.1264537	-78.4941887	42.0900647	2025-01-01	1513-01-01			Unknown	False	Unknown	True	True
Amherst	United States	Curtis Hall - It is said that two brothers had gotten into a fight, and had hung themselves at the same time on separate sides of their home in Curtis Hall. People have felt the presence of these two brothers, and say that the brothers have tried to play tricks on the people who visit and work in Curtis Hall. They will move chairs around, and tie knots in your shoelaces.	Daemen College	New York	NY	-78.78843839999999	42.9648902	-78.792272	42.97900670000001	2025-09-26		2025-09-26		Unknown	False	Unknown	True	True
Annandale-on-Hudson	United States	Blithewood Mansion - Students and faculty have long reported noises and poltergeist activity at the mansion. Sightings of a ghostly young girl between the ages of 8-12 have also been mentioned in the house and the surrounding gardens. The spirit is believed to be the daughter of Captain Andrew C. Zabriskie, the former owner and builder of the house. One winter their daughter either fell or jumped to her death out the window of their New York apartment and it is said she remains at the summer house because she disliked Manhattan while alive. An eerie postscript: before her death, Capt. Zabriskie commissioned a sculptor to create 4 statues of her for each 3 years of her life up to the age of 12 in the gardens; but to this day only three statues are present, along with an empty pedestal for the fourth one.	Bard College	New York	NY	-73.91005439999999	42.0203897	-73.9095279	42.0218762	2025-08-12		2025-08-12		Unknown	False	Unknown	True	True
Astoria	United States	American Museum of the Moving Image - Foot steps following you at night in the office area. A deep voice herd for a man in the hallway. People heard talking from the vents when no one else was in the building. A black women, in a white dress seen sitting at the desk in the entrance lobby.	Queens	New York	NY	-73.92346189999999	40.7643574	-73.92346189999999	40.7643574	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Baldwinsville	United States	It is a 5 mile road with no street lights or houses. It is all forest. It is said that back in the old days devil worshipers and members of the KKK used to worship up there and kill children as sacrifices...it is said that if you drive down the road at night you can see the children walking and there is also a bloody blanket. it is a very eerie feeling.- June 2005 Update/ Correction: The story of the KKK and satanic rituals is most likely false. Rumors are told that at some point in the past it was told that a man had been wrongly convicted of committing murder. Either as punishment or in holding before his punishment he was placed in a small shack at the end of Whiskey Hollow Road. Due to some mysterious circumstances the man died in that shack before his execution or during his incarceration there. Stricken with the grief of not only his wrongful conviction but also his untimely death his wife hung herself on a tree down Whiskey Hollow Road upon hearing the news of his death. Many claimed the tree still stands there.	Whiskey Hollow	New York	NY	-76.39450599999999	43.116274	-76.33270949999999	43.15867859999999	2005-01-01		2005-01-01	2005.0	2005.0	True		False	True
Ballston Lake	United States	Documentation of apparitions, Sounds of children laughing, gunshots heard in the late hours of the night on several occasions, in the 1500's it is rumored that the murders of over 60 people took place in what would become hunters woods during a take over of the nearby town Atla.	Hunters Woods	New York	NY			-73.86808719999999	42.9117377	2060-02-26		2060-02-26		2020	False	2020	True	True
Bannerman Island	United States	built by a wealthy Arms dealer that was destroyed in a fire caused by a lightning strike. You can hear bells, horses and strange lights. - August 2005 Additional Information: the castle was a strong hold storing munitions, gun powder & other explosives. Reports are that it is not safe to go ashore due to the fact there may still be explosives there.	Ruins of a replica of Scottish castle	New York	NY	-73.9890837	41.4551278	-73.9890837	41.4551278	2005-01-01		2005-01-01	2005.0	2005.0	True		False	True
Barkersville	United States	It was a hospital for patients with TB. The place is rumored to still be inhabited by the spirits of the dead.	The Homestead Asylum	New York	NY	-74.02096949999999	43.10336789999999	-74.0395723	43.0884072	2025-01-01	2025-01-01	2025-01-01		2016	False	2016	True	True
Basom	United States	Back in the late 1900's (no specific date sorry) a women and her husband were traveling along the edge of the falls. And the husband fell in. It's claimed that she didn't want to live without him. She jumped in too. People have claimed that still today they can see that women and sometimes they see Red light or orbs floating around the spots she died. - Feuary 2005 Update: many people have drowned there but two in particular stand out. In the late 1950's two brothers were swimming at the bottom of the falls when one went out too far and started to sink. The other brother then jumped in to save him but unfortunately both drowned and are seen quite regularly by the staff of the Log cabin.	Indian Falls	New York	NY	-78.39806	43.025	-78.3914111	43.0672811	1900-01-01	2025-01-01	1900-01-01	1900.0	1900.0	True	Unknown	True	True
Bellport	United States	There were numerous sightings of a young boy in the second grade hallway by several witnesses. Doors being pushed open, tripping people and his shadow has been seen.	Kreamer Elementary School	New York	NY	-72.94365789999999	40.7606117	-72.9392727	40.75704289999999	2025-01-01	0656-02-26			Unknown	False	Unknown	True	True
Bemus Point	United States	The Casino is a teen dance place. The Ghost that haunts it is known as Jordan Basile, a young chef there who died when the oven blew up. He was around the age of 15. Now when they hold dances, food mysteriously disappears and people often trip and fall when nothing was in their path. Jordan Basile is seen at the new oven on August 16th (the date of his death) every 2 years making what appears to be lobster, which was his specialty.	Casino	New York	NY	-79.396155	42.157565	-79.3917144	42.16172419999999	2025-02-15	2025-01-01	2025-02-15		Unknown	False	Unknown	True	True
Bethany	United States	The old county poor farm and insane asylum has had over 1,000 deaths documented on the property. Owners and others have seen hundreds of ghosts roaming the halls. Doors slam, voices call out, items misplaced etc. Many psychics and paranormal investigators have documented such happenings. Many photos taken show orbs, ectoplasm, and actual ghostly apparitions. Property was in operation from 1827-1974 as county home, and stood empty until 1992,when opened as antique and craft mall. 3rd floor of west wing, that housed the nurses, is very very haunted. Paranormal investigations are currently being held there. Museum opening on site will offer much history. Genesee County history dept has compiled a book of all documented deaths at site, and is available for viewing.	Old Genesee County Home and Infirmary	New York	NY	-78.1327379	42.8811213	-78.13363799999999	42.92381090000001	1827-01-01		1827-01-01	1827.0	1827.0	True		False	True
Brewster	United States	"There are several, seemingly, unrelated stories about this road which starts as Federal Hill Road in Brewster, New York and ends as Joe's Hill Road in Danbury, Connecticut. The most pronounced story is that of the Jesus Tree (cut down in the early 1990's). This tree with the image of Jesus on the crucifix was said to ""bleed"" a red substance from its trunk when they cut it down. There are twelve trees evenly spaced and equal in stature directly following where the Jesus Tree stood. These are said to be the twelve apostles. When you travel farther down the road (eastbound), you come to a very curious looking estate. this ominous looking estate is actually Morefar Golf Club. This is believed to be a cover for something else. Word of links to the Satanic church have been bantered about. The main entrance has a sign reading ""Back 'o Beyond"". Interesting welcome for a country club. Immediately following Morefar, and across the street is Farrington Pond. There have been several stories about people driving off the road, into the pond, claiming to have seen ""something"". The undifinitive story of this pond is that a young lady, on her way to a High School Prom, went off the road and into the pond. She was said to have drowned. When the moonlight hits the water, people have been known to see an image in a prom dress on top of the water, dancing - alone. In 1988, a young man named Dean, was found in his car on the side of the pond (just off the road), dead from gun shot wounds to the back of his head. The two men who were responsible were captured within a week. It is unknown whether this has anything to do with the spirit of the pond, but, if nothing else, it adds to the eeriness of the road."	Federal Hill Rd.	New York	NY	-73.55148080000001	41.4070252	-73.6170721	41.3973163	1988-01-01		1988-01-01	1990.0	1988.0	True		False	True
Brockport	United States	Brockport -  Hartwell Hall - Hartwell Hall was the first building on the SUNY Brockport campus, originally used as the Brockport Normal School, a school for teachers. Cleaning staff over the years have claimed to experience things when they are alone in the building. One spoke of a periodic flurry of ghostly activity in the hallways on one of the upper floors when spirits change classes -- doors sounding as if they're opening and closing, faint laughter and voices in the hallways... Another staff member swore she was touched on the shoulder while cleaning a classroom, only to turn around and find no one. She also said she was cleaning one of the ballet rooms and, slipping from her stepladder and falling backwards, was caught by an unknown force and set down gently, unharmed. In the basement, where an empty pool sits, workers are sure they've heard splashing.	State University of New York	New York	NY	-77.9507327	43.210018	-77.9391797	43.2136713	2025-01-01	1948-01-01	1948-01-01		1948.0	False	1948	True	True
Bronx	United States	Fordham is built on two things - the old Rose Hill manor, and an old hospital that were taken down in the late 1830's for construction of the campus. there are still tunnels that connect a lot of the buildings on campus.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01	1830.0	1841.0	False	1841	True	True
Bronx	United States	Administration Building - there is a smell of cigar smoke in the halls.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Collins Auditorium - Student and faculty had reportedly seen a man walking around on the balconies above the stage itself. Strange whispers are heard and cold sensations are frequently felt by young Fordham thespians. The building is just one of countless haunted places on the campus, which include Martyrs Court, Teirney Hall, Millenium Hall, Lombardi Center, Coffey Feild, Dwane Library, and Freeman Hall. -  If you have any additional information of any of these locations, please email Haunted Places	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Finlay Hall - was used long ago as the medical school. Residents have been awoken numerous times by unseen hands grabbing at their throat.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Hughes Hall - Hauntings are reported to happen all over the campus. In Hughes Hall students report locked doors swinging open and there is a young boy who has been known to appear in rooms in the late hours of the night.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Keating Hall - basement - This building is not original to the campus. It was possibly built over the morgue tunnels in the 1930's. The basement was the original cafateriea, and once the new cafeteria was built it was turned in to a congressional library. They are currently renovating it to be a student center. Late 1970's: a security guard was on his break in the basement lounge of Finlay, when the doors closed themselves and the chairs started to bang themselves against the wall. he got up and the hell out of there and quit his job on the spot.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	1930-01-01	1841-01-01	1930-01-01	1930.0	1930.0	True	1841	True	True
Bronx	United States	Keating Hall - First Floor - There is an area on the first Floor in Keating Hall with chairs and historial items on display. You can sit there in between classes if you like. However, few students do because when you sit there, you have a feeling of being watched. There are cold spots, even in the summer and you see shadows. Rumors are they are spirits are Jesuits that have past.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Keating Hall - 3rd Floor - Reports of being touched on the shoulder & seeing an apparition form in a blue room.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-02-03	1841-01-01	2025-02-03		1841	False	1841	True	True
Bronx	United States	Keating Hall - Auditorium - there is a staircase above the auditorium. Again, cold spots and a witness has seen a chair tumbling down the stairs when no one was there.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	"Martyr's Court - a large dormitory on the campus. Residents have reported seeing a young, blond-haired girl standing in the shower, behind the curtain, staring straight ahead. The dean's response when they wanted to move was ""It's March. This sort of thing happens all the time, and worse, so just try to turn the other cheek."" They also report seeing a man walking by their rooms, in the direction of a wall at the end of the hall. When they would go out to see who it was, he'd be gone, also hear children's laughter in the walls of their apartment."	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-03-26	1841-01-01	2025-03-26		1841	False	1841	True	True
Bronx	United States	O'Hare Hall - A worker was killed during the construction of the building.It has been rumored that he still roams the halls, banging on walls as if he was still working on the building.	Fordham University	New York	NY	-73.88569869999999	40.8620404	-73.8648268	40.8447819	2025-01-01	1841-01-01	1841-01-01		1841.0	False	1841	True	True
Bronx	United States	Rare sighting have been a common thing here. Two ghosts' here are still haunting this store and still have for at least 36 years. A father who worked here was shot and murdered by a robber. They seem to here a weird voice here although no one has seen anything or anyone. The second is the ghost of the father's son. He was also shot and killed a few days later. He was crawling and trying to get help, but he died soon after. Bloodstains and marking have been seen on the sidewalk near the store. To this day, the ghost don't bother anyone in the store, although the father's ghost is STILL looking for the murderer	Old Candy Store on 32nd street	New York	NY	-73.9049146	40.877332	-73.8648268	40.8447819	2036-02-26		2036-02-26		1865	False	1865	True	True
Bronx	United States	In the fields at the edge of this small beach town, stands an old abandoned farmhouse overlooking the water. People say that a large mansion once accompanied the farmhouse. The residents of the mansion were very wealthy and many people were jealous of them. One man went to the extreme and caught their house on fire. The entire house was destroyed, but the family was able to escape to the farmhouse in time. The police came to investigate, but feared the people of Silver Beach would move if they heard about the arson. The police simply said that there was a tragic fire and the family had died. They even went as far as to say the field could be used for children to play. The suspect was never found, and the family continued to live secretly in the farmhouse. In 1950, ten years after the fire, the suspect who set the fire returned. He murdered the entire family the night before Halloween by stabbing them to death. The next evening, a group of teenagers came to the field to hang out. The young daughter, who had been able to escape the murderer, was going crazy looking for her family. The teens watched in horror as she ran to the water and dived in. She drowned instantly, since she was unable to swim. They reported the incident to the police. They searched everywhere but the girl was never found. The only description the teenagers could give of the girl was that she had strawberry colored hair. Every Halloween since the incident, the girl's ghost can be seen frantically searching for her family and the murderer.	Strawberry Fields of Silver Beach Gardens	New York	NY	-73.8088319	40.8134786	-73.8648268	40.8447819	1950-01-01		1950-01-01	1950.0	1950.0	True		False	True
Bronx	United States	there is an empty lot behind some houses that are now built on Baisley Ave. In among the trees at night u can sometimes see the little girl that was murdered there over 70 years ago and she was thrown in the swamps alive.	West of the I95 highway	New York	NY	-73.86891	40.83578000000001	-73.8648268	40.8447819	2070-02-26		2070-02-26		2018	False	2018	True	True
Bronx	United States	Frankie's Castle - You can see an old man with a flashlight. He seems to be yelling something but you can't hear him. He might be there because it's an old water treatment plant.	Woodlawn Park	New York	NY	-73.87222870000001	40.9000907	-73.8648268	40.8447819	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Bronxville	United States	is inhabited by a ghastly Rev Dr. Henry Feth.	Concordia College -Feth Hall	New York	NY	-73.8221475	40.9426774	-73.8320784	40.93815439999999	2025-01-01	2025-01-01	2025-01-01		1974	False	1974	True	True
Brooklyn	United States	January 2006: New information has been issued for this haunting, the submission has been rewritten.	Most Holy Trinity Church	New York	NY	-73.9442753	40.7068896	-73.9441579	40.6781784	2006-01-01		2006-01-01	2006.0	2006.0	True		False	True
Brooklyn	United States	In the computer room on the third floor there tends to be noises while no one is in the room you can feel breathing and it always feels like someone's watching you when there no one around your can hear walking and footsteps one girl says that someone once pulled her hair but when she turned around no body was there.	St. Joseph's High school	New York	NY	-73.9855384	40.6920778	-73.9441579	40.6781784	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Buffalo	United States	Christ the King Chapel - where voices have been heard in the confessionals; a ghost hunting expedition in 2004 resulted in a number of students seeing the image of an old man in the basement as the ghost hunter snapped a picture.	Canisius College	New York	NY	-78.8514848	42.9248338	-78.8783689	42.88644679999999	2004-01-01	1870-01-01	2004-01-01	2004.0	2004.0	True	1870	True	True
Buffalo	United States	Frisch residence hall - The 5th floor - allegedly haunted by a student who committed suicide, who has been seen by students in the dorms and bathrooms.	Canisius College	New York	NY	-78.8514848	42.9248338	-78.8783689	42.88644679999999	2025-02-05	1870-01-01	2025-02-05		1870	False	1870	True	True
Buffalo	United States	"Lyons - The 4th floor - allegedly haunted by a nun; many people with no prior knowledge of this have commented on the ""eerie"" feeling they get on the floor."	Canisius College	New York	NY	-78.8514848	42.9248338	-78.8783689	42.88644679999999	2025-02-04	1870-01-01	2025-02-04		1870	False	1870	True	True
Buffalo	United States	Village Townhouses and the Griffin Hall - In addition, many houses rented by students in the surrounding neighborhood are reported to be haunted.	Canisius College	New York	NY	-78.8514848	42.9248338	-78.8783689	42.88644679999999	2025-01-01	1870-01-01	1870-01-01		1870.0	False	1870	True	True
Buffalo	United States	"Kessler Administration Building - 3rd and 4th floor and the attic of the  -  There are many sightings of little kids in that building.  Rumor is there used to be an orphanage in that building and the 3rd and 4th floors are where they slept.  The attic was where they went for punishment.  There have been many instances of security guards seeing weird lights, doors opening after they had already been checked and were locked, sounds of walking in the hallway, but no one is there, and doors slamming shut.  On the 4th floor, many people have seen a little girl in a white light walking.  Another guard, during a flash of lightening, looked into an office and saw little children sitting at desks.  Almost every guard talks about the coolness up there and also the ""creepy"" feeling and odd noises on those floors."	D'Youville College Buffalo	New York	NY	-78.89082669999999	42.9025804	-78.8783689	42.88644679999999	2025-02-03		2025-02-03		1908	False	1908	True	True
Buffalo	United States	A husband & wife who were archaeologists, went on a dig at Grand Island in the early 1970s through SUNY Buffalo.  First, they said there was a terrible vibe between the people on the team, who were normally good friends. People were making bad decisions and snapping at each other and acting completely unlike themselves. Then, when everyone sat down for lunch, they all heard growls coming from the surrounding woods. The couples were experienced with life outdoors even then and they both said it was not the growl of any animal native to western NY. The growling seemed to surround them and things rustled in the trees.  They all packed up and left. My parents told me that there are a lot of Native American spirits there, possibly a burial site.	Grand Island	New York	NY	-78.891497	42.95799299999999	-78.8783689	42.88644679999999	2025-03-01		2025-03-01		Unknown	False	Unknown	True	True
Buffalo	United States	a ghostly little girl has been seen running through the halls.	Holiday Inn	New York	NY	-78.8726487	42.8901984	-78.8783689	42.88644679999999	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Buffalo	United States	Lindbergh elementary - Custodian was killed in a fire and died. Kids claim they hear ghostly noises and see white shadows.	Kenmore	New York	NY	-78.86424000000001	42.95868189999999	-78.8783689	42.88644679999999	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Buffalo	United States	This has been said that this school formerly called: School For Boys. It is being haunted by former students who attend & that they appear as normal like kids today, but in searching for teachers, sitting in classrooms in their 1944 clothing attire, behaving themselves while the teachers are teaching.	Medaille College	New York	NY	-78.8559545	42.928608	-78.8783689	42.88644679999999	1944-01-01		1944-01-01	1944.0	1944.0	True		False	True
Buffalo	United States	"In 1975, it is said that a young boy died in the school pool on the second floor. In English room below, ceiling tiles fall every year describing the word ""Help."""	School #61	New York	NY	-89.04744319999999	37.810937	-78.8783689	42.88644679999999	1975-01-01		1975-01-01	1975.0	1975.0	True		False	True
Buffalo	United States	Located on Main Street, many of the students and staff have reported seeing several nuns on 3rd floor in old dormitories. Nuns would go and ring the church bell (its no longer functioning) but students can't hear the bell due to their hearing impairments but there are no reports of sounds but a lot of visuals. A little boy was reported to be seen on campus walking around Bosco Hall since it used to have a swimming pool and now converted into a small gym. Boy drowned in the pool in 1950's (possible earlier) students would also report seeing nuns roaming halls like its a residual haunting. It repeats over and over coming out of a certain door and walking down the hall and disappearing.	St. Mary's School for the Deaf	New York	NY	-78.8470834	42.9307251	-78.8783689	42.88644679999999	1950-01-01		1950-01-01	1950.0	1950.0	True		False	True
Camden	United States	On fourth Street is the old Charlie Harden House. Built in the mid 1800's, Charlie Harden, a wealthy man, had this house built where he later died. There have been more than a few sightings of the ghost of Mr. Harden in the ornate foyer, and on the curving stair case connecting to it. Cold spots abound in the house even though extensive work to the work house was completed. The sounds of someone walking on the long curving stairs and landing are often heard mainly in the late afternoon. Children who have lived in the house tell stories of the nocturnal knockings on bedroom doors and walls, and of the bad dreams that accompany them.	The Old Harden House	New York	NY			-75.78365889999999	43.33873639999999	2025-01-01	2025-01-01	2025-01-01	1800.0	1989	False	1989	True	True
